,Team,Runner,Yards,Run Time,Min,Max,Avg,Nationality,Gen,Age,Yard 1,Yard 2,Yard 3,Yard 4,Yard 5,Yard 6,Yard 7,Yard 8,Yard 9,Yard 10,Yard 11,Yard 12,Yard 13,Yard 14,Yard 15,Yard 16,Yard 17,Yard 18,Yard 19,Yard 20,Yard 21,Yard 22,Yard 23,Yard 24,Yard 25,Yard 26,Yard 27,Yard 28,Yard 29,Yard 30,Yard 31,Yard 32,Yard 33,Yard 34,Yard 35,Yard 36,Yard 37,Yard 38,Yard 39,Yard 40,Yard 41,Yard 42,Yard 43,Yard 44,Yard 45,Yard 46,Yard 47,Yard 48,Yard 49,Yard 50,Yard 51,Yard 52,Yard 53,Yard 54,Yard 55,Yard 56,Yard 57,Yard 58,Yard 59,Yard 60,Yard 61,Yard 62,Yard 63,Yard 64,Yard 65,Yard 66,Yard 67,Yard 68,Yard 69,Yard 70,Yard 71,Yard 72,Yard 73,Yard 74,Yard 75
103,New Zealand,Andy Smith ,31,26:23:57,47:14:00,55:12:00,51:06:00,New Zealand,M,,47:50:00,49:59:00,49:59:00,49:56:00,49:08:00,48:47:00,47:14:00,50:54:00,48:38:00,50:11:00,50:54:00,49:57:00,52:11:00,51:24:00,50:40:00,51:29:00,49:36:00,50:37:00,51:07:00,51:58:00,51:59:00,50:59:00,51:28:00,52:03:00,55:12:00,53:17:00,54:40:00,54:45:00,52:26:00,52:21:00,52:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Finland,Jeremy Palmer,31,26:24:32,47:13:00,58:55:00,51:07:00,USA,M,44,47:15:00,48:43:00,48:32:00,49:00:00,47:13:00,48:35:00,47:25:00,49:35:00,49:30:00,49:30:00,50:30:00,50:15:00,50:30:00,51:20:00,51:15:00,51:40:00,52:10:00,49:20:00,49:50:00,48:40:00,49:15:00,51:30:00,52:30:00,53:50:00,52:25:00,53:15:00,54:14:00,55:05:00,54:35:00,58:55:00,58:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Australia,Ryan Crawford,30,19:46:25,32:50:00,52:31:00,39:33:00,Australia,M,45,32:50:00,36:26:00,35:57:00,37:48:00,38:39:00,38:58:00,34:04:00,36:10:00,35:15:00,35:15:00,34:17:00,36:15:00,38:01:00,37:36:00,34:32:00,37:20:00,39:34:00,38:53:00,40:02:00,42:05:00,42:45:00,52:31:00,44:46:00,43:50:00,42:21:00,41:29:00,43:27:00,42:41:00,46:13:00,46:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Ukraine,Serhii Ziuman ,30,21:56:06,38:37:00,48:35:00,43:52:00,Ukraine,M,34,43:09:00,46:32:00,46:58:00,44:37:00,48:35:00,43:23:00,42:39:00,42:58:00,43:55:00,42:26:00,46:56:00,43:16:00,43:10:00,46:21:00,45:39:00,45:02:00,42:32:00,42:33:00,42:00:00,41:48:00,46:20:00,39:24:00,42:29:00,42:48:00,45:20:00,41:56:00,46:47:00,42:15:00,45:41:00,38:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Mexico,Reyes Giltro Satevo,30,23:06:52,38:40:00,52:03:00,46:14:00,,M,,41:40:00,47:17:00,50:28:00,48:27:00,48:50:00,47:30:00,47:14:00,47:13:00,49:25:00,49:16:00,48:45:00,44:43:00,47:26:00,48:32:00,48:30:00,49:00:00,45:49:00,43:55:00,43:40:00,40:58:00,43:00:00,50:28:00,45:40:00,45:35:00,43:20:00,47:45:00,42:40:00,38:40:00,39:03:00,52:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Ukraine,Nazarii Hnat ,30,23:09:02,41:51:00,55:04:00,46:18:00,Ukraine,M,27,45:03:00,49:58:00,49:54:00,48:09:00,48:55:00,48:26:00,45:48:00,45:58:00,47:33:00,46:10:00,45:23:00,45:17:00,43:22:00,46:30:00,45:36:00,45:32:00,42:35:00,42:36:00,45:49:00,41:51:00,43:42:00,46:42:00,42:32:00,42:43:00,45:18:00,43:18:00,46:44:00,50:12:00,52:22:00,55:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Mexico,Martin Moreno,30,23:11:57,39:05:00,54:40:00,46:24:00,Tarahumara Mexican,M,,40:40:00,46:42:00,50:23:00,48:30:00,54:40:00,47:00:00,47:16:00,47:06:00,47:55:00,47:27:00,47:33:00,42:37:00,45:56:00,47:27:00,47:33:00,48:25:00,43:01:00,43:50:00,41:01:00,39:11:00,51:49:00,46:50:00,49:50:00,44:21:00,45:15:00,53:40:00,40:30:00,39:05:00,43:58:00,52:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,France,Guillaume Arthus,30,23:13:24,39:31:00,50:27:00,46:27:00,France,M,30,46:02:00,49:26:00,39:31:00,45:26:00,44:51:00,46:12:00,41:13:00,47:59:00,46:28:00,48:02:00,46:11:00,49:43:00,47:59:00,47:30:00,45:37:00,46:57:00,47:30:00,46:54:00,47:06:00,45:34:00,45:30:00,45:20:00,45:16:00,45:27:00,47:35:00,46:38:00,46:24:00,46:12:00,48:24:00,50:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Germany,Patrick Obert,30,23:31:21,39:38:00,55:48:00,47:03:00,Germany,M,42,43:58:00,46:51:00,46:17:00,46:45:00,47:45:00,43:23:00,46:40:00,47:01:00,46:42:00,47:15:00,46:49:00,39:38:00,47:43:00,46:13:00,41:27:00,46:51:00,47:39:00,46:23:00,46:20:00,45:11:00,45:08:00,45:48:00,54:41:00,46:04:00,47:08:00,46:01:00,46:31:00,52:24:00,54:57:00,55:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belgium,Clukers Karen,30,23:35:01,41:44:00,54:09:00,47:10:00,BE,F,42,41:44:00,43:36:00,46:07:00,47:39:00,45:21:00,46:31:00,46:24:00,45:52:00,44:42:00,47:41:00,46:34:00,46:37:00,47:06:00,50:03:00,47:37:00,48:42:00,50:19:00,46:30:00,45:30:00,47:21:00,45:51:00,46:24:00,45:49:00,45:42:00,45:50:00,48:09:00,48:22:00,49:10:00,53:39:00,54:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
