,Team,Runner,Yards,Run Time,Min,Max,Avg,Nationality,Gen,Age,Yard 1,Yard 2,Yard 3,Yard 4,Yard 5,Yard 6,Yard 7,Yard 8,Yard 9,Yard 10,Yard 11,Yard 12,Yard 13,Yard 14,Yard 15,Yard 16,Yard 17,Yard 18,Yard 19,Yard 20,Yard 21,Yard 22,Yard 23,Yard 24,Yard 25,Yard 26,Yard 27,Yard 28,Yard 29,Yard 30,Yard 31,Yard 32,Yard 33,Yard 34,Yard 35,Yard 36,Yard 37,Yard 38,Yard 39,Yard 40,Yard 41,Yard 42,Yard 43,Yard 44,Yard 45,Yard 46,Yard 47,Yard 48,Yard 49,Yard 50,Yard 51,Yard 52,Yard 53,Yard 54,Yard 55,Yard 56,Yard 57,Yard 58,Yard 59,Yard 60,Yard 61,Yard 62,Yard 63,Yard 64,Yard 65,Yard 66,Yard 67,Yard 68,Yard 69,Yard 70,Yard 71,Yard 72,Yard 73,Yard 74,Yard 75
174,Japan,Shota MIYAZAKI,26,24:11:37,54:22:00,59:10:00,55:50:00,Japan,M,32,55:10:00,56:13:00,56:05:00,55:15:00,55:54:00,56:03:00,54:22:00,55:50:00,55:59:00,55:46:00,55:42:00,55:48:00,54:50:00,55:42:00,55:15:00,55:34:00,55:02:00,55:50:00,55:40:00,55:40:00,55:38:00,55:42:00,55:35:00,55:46:00,58:06:00,59:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Ireland,Vincent McMath,25,19:16:15,42:13:00,56:10:00,46:15:00,Irish,M,,45:27:00,47:01:00,44:38:00,44:42:00,44:36:00,44:21:00,44:49:00,46:26:00,45:53:00,46:05:00,47:09:00,46:46:00,46:44:00,46:21:00,46:16:00,47:27:00,47:27:00,48:08:00,46:24:00,46:45:00,43:00:00,42:13:00,43:24:00,48:03:00,56:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Canada,Scott Cooper,25,19:39:50,40:44:00,59:46:00,47:12:00,Canadian,M,32,45:17:00,46:17:00,44:29:00,44:33:00,41:20:00,40:44:00,45:26:00,43:01:00,45:11:00,45:41:00,45:52:00,45:39:00,46:44:00,46:33:00,45:50:00,46:31:00,52:32:00,46:09:00,47:27:00,46:09:00,46:57:00,51:54:00,54:52:00,54:56:00,59:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Belarus,Pavel Kulikou,25,19:42:49,42:23:00,54:26:00,47:19:00,Belarus,M,25,47:14:00,48:34:00,43:30:00,42:23:00,43:37:00,47:02:00,45:43:00,44:40:00,44:23:00,46:18:00,43:46:00,42:59:00,47:21:00,48:06:00,47:36:00,45:35:00,44:25:00,47:08:00,50:06:00,49:50:00,51:30:00,51:55:00,51:00:00,53:42:00,54:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Australia,Neil Macneil,25,19:54:56,42:15:00,55:14:00,47:48:00,England,M,49,47:42:00,44:07:00,48:53:00,46:32:00,47:53:00,46:55:00,42:15:00,44:18:00,45:40:00,45:18:00,49:24:00,50:09:00,50:19:00,50:11:00,49:49:00,50:17:00,42:56:00,50:43:00,48:01:00,42:17:00,50:32:00,45:46:00,48:45:00,51:00:00,55:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,New Zealand,Matt Bailey,25,20:05:09,43:58:00,59:27:00,48:12:00,New Zealand,M,,47:02:00,45:15:00,48:20:00,50:58:00,48:15:00,43:58:00,44:22:00,47:26:00,47:42:00,47:28:00,49:05:00,47:45:00,49:00:00,48:13:00,48:24:00,47:47:00,47:13:00,48:26:00,45:32:00,46:37:00,48:00:00,47:59:00,50:43:00,50:12:00,59:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Denmark,Peter Kjeldmann,25,20:22:12,42:00:00,54:30:00,48:53:00,Danish,M,39,45:00:00,47:00:00,47:30:00,47:00:00,46:00:00,48:00:00,47:32:00,42:00:00,49:30:00,48:10:00,48:10:00,49:15:00,48:50:00,49:30:00,50:55:00,48:55:00,50:10:00,49:40:00,48:25:00,48:45:00,48:30:00,51:45:00,53:20:00,53:50:00,54:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Ireland,Kieth Lane,25,20:26:20,46:07:00,57:06:00,49:03:00,Irish,M,,46:58:00,49:49:00,46:51:00,48:16:00,47:35:00,48:27:00,49:22:00,48:30:00,48:55:00,46:07:00,49:37:00,50:01:00,49:07:00,48:53:00,48:55:00,48:52:00,47:56:00,48:54:00,48:32:00,48:08:00,47:44:00,48:31:00,48:29:00,54:45:00,57:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Ireland,Louise Smart,25,20:29:11,45:54:00,54:32:00,49:10:00,Northern Ireland,F,,45:54:00,47:41:00,46:53:00,48:02:00,47:36:00,48:31:00,49:12:00,48:32:00,49:34:00,48:32:00,49:11:00,49:02:00,49:29:00,49:03:00,48:56:00,49:19:00,49:58:00,50:37:00,51:47:00,49:11:00,49:17:00,49:28:00,48:31:00,50:23:00,54:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Switzerland,Till Winkler,25,20:40:43,46:05:00,53:14:00,49:38:00,Germany ,M,43,49:07:00,51:30:00,50:32:00,51:10:00,50:08:00,48:21:00,49:53:00,49:17:00,48:27:00,51:27:00,48:11:00,49:58:00,47:55:00,49:49:00,49:38:00,50:34:00,49:33:00,48:53:00,48:44:00,46:11:00,46:05:00,51:27:00,50:44:00,49:55:00,53:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Germany,Erik Drollinger,25,20:51:56,46:03:00,56:59:00,50:05:00,Germany,M,53,48:30:00,46:51:00,49:21:00,50:25:00,50:28:00,49:49:00,50:18:00,49:49:00,51:30:00,46:17:00,47:12:00,47:09:00,49:37:00,50:50:00,48:49:00,51:11:00,46:03:00,49:40:00,49:40:00,49:25:00,50:40:00,51:44:00,54:23:00,56:59:00,55:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Spain,Luis de Andrés Santos,25,20:52:33,48:08:00,56:32:00,50:06:00,Spain,M,37,48:16:00,49:46:00,48:54:00,49:53:00,50:08:00,50:46:00,50:40:00,49:22:00,48:08:00,49:15:00,49:55:00,49:35:00,50:08:00,51:33:00,50:31:00,49:54:00,49:44:00,49:49:00,50:23:00,48:59:00,49:53:00,50:41:00,49:54:00,49:54:00,56:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,United Kingdom,Andy Persson,25,21:56:34,51:25:00,56:16:00,52:40:00,English,M,,51:33:00,52:26:00,52:52:00,51:27:00,52:28:00,53:50:00,51:59:00,52:50:00,51:44:00,51:51:00,52:12:00,51:25:00,52:18:00,52:24:00,53:06:00,52:34:00,52:54:00,52:19:00,53:04:00,52:10:00,52:33:00,53:15:00,52:47:00,54:17:00,56:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Ukraine,Viktor Hrebelskyi ,24,16:55:05,39:45:00,45:58:00,42:18:00,Ukraine,M,37,45:58:00,41:42:00,41:23:00,42:05:00,41:28:00,43:30:00,42:40:00,42:34:00,42:58:00,42:28:00,42:51:00,43:08:00,43:07:00,42:07:00,42:53:00,43:17:00,41:44:00,40:36:00,40:50:00,40:56:00,42:14:00,39:45:00,41:56:00,42:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Germany,Patrick George,24,17:41:24,37:05:00,53:19:00,44:14:00,Germany,M,35,40:07:00,37:57:00,40:07:00,40:08:00,38:54:00,42:32:00,42:28:00,42:04:00,43:17:00,41:34:00,41:20:00,42:29:00,37:31:00,37:05:00,46:07:00,46:56:00,48:03:00,48:46:00,53:19:00,50:42:00,47:21:00,50:01:00,49:42:00,52:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Canada,Dave Proctor,24,17:52:54,34:46:00,49:10:00,44:42:00,Canadian,M,39,47:21:00,49:10:00,48:26:00,36:51:00,41:17:00,34:46:00,45:59:00,46:08:00,41:30:00,48:45:00,48:02:00,39:19:00,46:45:00,46:24:00,41:54:00,40:41:00,47:23:00,45:13:00,48:14:00,38:11:00,48:28:00,46:25:00,48:26:00,47:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Australia,Guy Schweitzer,24,18:25:05,43:08:00,52:32:00,46:03:00,Australia,M,45,44:55:00,45:16:00,46:38:00,44:35:00,45:01:00,44:22:00,43:08:00,43:43:00,44:03:00,44:03:00,45:38:00,44:50:00,45:44:00,45:57:00,46:45:00,46:23:00,46:49:00,46:28:00,44:37:00,46:28:00,48:50:00,48:38:00,49:42:00,52:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Russia,Valeriy Regetsiy,24,18:30:58,40:52:00,50:40:00,46:17:00,Russia,M,,45:44:00,43:50:00,40:52:00,41:05:00,41:30:00,42:08:00,42:36:00,50:40:00,48:30:00,47:30:00,47:01:00,44:40:00,49:47:00,49:52:00,49:03:00,49:58:00,47:55:00,46:18:00,46:45:00,46:56:00,46:38:00,47:20:00,46:30:00,47:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Spain,Verónica Romero Rivero,24,18:52:29,45:41:00,49:24:00,47:11:00,Spain,F,45,46:42:00,47:51:00,48:04:00,46:48:00,46:24:00,46:22:00,47:44:00,49:24:00,48:04:00,47:49:00,47:57:00,46:53:00,47:58:00,48:49:00,46:42:00,46:20:00,46:21:00,48:18:00,45:41:00,45:59:00,46:27:00,46:58:00,46:27:00,46:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Australia,Greg Ponych,24,18:54:50,43:29:00,50:16:00,47:17:00,Australia,M,54,50:16:00,48:53:00,49:13:00,47:14:00,48:15:00,47:14:00,46:21:00,45:57:00,46:22:00,46:28:00,46:25:00,47:24:00,47:18:00,48:10:00,46:36:00,47:16:00,45:49:00,48:15:00,47:05:00,43:29:00,48:53:00,46:08:00,45:59:00,49:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Mexico,Florencio Quimare,24,19:09:10,40:34:00,56:50:00,47:53:00,Tarahumara Mexican,M,,40:34:00,45:56:00,50:21:00,48:24:00,48:50:00,47:02:00,47:15:00,47:09:00,48:27:00,47:59:00,49:25:00,46:43:00,47:20:00,47:28:00,48:12:00,49:02:00,45:48:00,45:10:00,46:30:00,42:30:00,48:20:00,50:15:00,53:40:00,56:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Denmark,Jesper Valbak,24,19:26:16,45:30:00,55:05:00,48:36:00,Danish,M,43,45:30:00,48:00:00,48:00:00,48:00:00,49:00:00,48:00:00,49:00:00,48:30:00,47:50:00,48:01:00,47:05:00,47:30:00,48:50:00,48:55:00,49:10:00,47:20:00,48:15:00,47:25:00,47:35:00,46:45:00,48:15:00,51:50:00,52:25:00,55:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Singapore,Natalie Dau,24,19:26:41,45:53:00,56:11:00,48:37:00,SINGAPORE PR,F,48,50:00:00,50:00:00,49:00:00,48:21:00,47:25:00,46:47:00,45:53:00,46:50:00,47:05:00,48:30:00,47:26:00,48:19:00,48:10:00,46:54:00,47:15:00,47:45:00,47:55:00,47:15:00,47:54:00,49:50:00,49:43:00,50:05:00,52:08:00,56:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Ukraine,Valerii Shypunov ,24,19:40:39,43:53:00,54:42:00,49:12:00,Ukraine,M,31,43:53:00,54:42:00,53:45:00,50:22:00,48:33:00,48:21:00,45:29:00,45:25:00,49:31:00,48:51:00,47:40:00,44:16:00,48:39:00,48:13:00,51:28:00,49:13:00,48:51:00,49:55:00,49:32:00,48:17:00,50:36:00,50:43:00,50:13:00,54:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Switzerland,Johannes Stimpfle,24,19:50:39,45:15:00,52:49:00,49:37:00,Germany,M,33,49:09:00,52:49:00,51:57:00,51:06:00,51:03:00,49:26:00,50:05:00,49:23:00,47:50:00,48:32:00,48:02:00,49:36:00,50:10:00,47:15:00,50:59:00,51:31:00,50:43:00,47:41:00,48:27:00,47:07:00,45:15:00,50:39:00,50:23:00,51:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Australia,Cam Munro,24,19:53:31,44:20:00,54:32:00,49:44:00,Australia,M,39,47:40:00,47:08:00,49:23:00,46:34:00,49:18:00,44:20:00,47:28:00,48:06:00,45:46:00,50:07:00,50:39:00,50:19:00,50:11:00,50:03:00,50:10:00,50:21:00,50:41:00,50:12:00,50:12:00,50:36:00,54:32:00,52:54:00,54:11:00,52:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,United States,Joe Fejes,24,20:32:24,40:37:00,57:13:00,51:21:00,USA,M,54,54:58:00,56:55:00,56:48:00,56:10:00,57:13:00,55:54:00,56:18:00,56:02:00,56:42:00,53:53:00,53:32:00,49:21:00,42:45:00,43:20:00,48:34:00,47:38:00,44:16:00,40:37:00,49:55:00,50:07:00,50:42:00,48:15:00,50:55:00,51:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,United Kingdom,Nick Lister,24,20:39:52,46:47:00,57:02:00,51:40:00,English,M,,50:52:00,51:09:00,51:42:00,50:44:00,52:31:00,54:15:00,49:12:00,51:12:00,51:42:00,50:43:00,50:38:00,50:47:00,46:47:00,52:43:00,52:07:00,52:09:00,50:53:00,50:36:00,50:30:00,48:17:00,51:34:00,55:37:00,56:10:00,57:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Sweden,Lisa Amundsson,24,20:46:57,48:01:00,55:26:00,51:57:00,Sweden,F,60,48:01:00,49:13:00,49:01:00,49:46:00,50:02:00,50:41:00,50:28:00,52:09:00,51:25:00,51:07:00,52:06:00,51:33:00,51:59:00,52:13:00,52:48:00,53:28:00,53:44:00,52:19:00,52:09:00,55:08:00,54:52:00,55:26:00,54:41:00,52:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,United States,Chris Powell,24,20:50:05,47:27:00,56:40:00,52:05:00,USA,M,36,52:41:00,56:40:00,54:58:00,53:00:00,53:07:00,54:56:00,53:28:00,54:51:00,54:57:00,54:25:00,54:10:00,47:27:00,47:53:00,49:52:00,47:48:00,50:32:00,48:20:00,48:47:00,49:57:00,54:13:00,51:15:00,52:44:00,53:30:00,50:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Switzerland,Stefan Knoche,24,20:58:22,49:05:00,55:49:00,52:26:00,Germany,M,54,49:07:00,55:08:00,51:01:00,54:27:00,53:29:00,54:25:00,52:00:00,53:06:00,51:44:00,51:23:00,53:27:00,49:05:00,51:47:00,52:54:00,53:42:00,52:40:00,52:47:00,51:23:00,50:12:00,51:23:00,50:37:00,51:46:00,55:49:00,55:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Singapore,Ben Swee,24,21:42:58,52:00:00,58:01:00,54:17:00,SINGAPOREAN,M,44,56:00:00,52:00:00,54:00:00,54:29:00,54:21:00,54:40:00,53:55:00,54:13:00,53:15:00,54:42:00,54:20:00,54:15:00,54:35:00,54:03:00,54:00:00,53:52:00,55:32:00,54:08:00,53:35:00,53:58:00,53:08:00,53:15:00,54:41:00,58:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Belgium,Landresse Christian,24,21:53:17,50:23:00,58:18:00,54:43:00,BE,M,51,50:23:00,52:02:00,52:45:00,51:27:00,52:23:00,53:17:00,53:37:00,51:54:00,53:16:00,52:52:00,53:42:00,54:18:00,54:59:00,54:03:00,55:45:00,58:17:00,58:18:00,58:08:00,58:00:00,56:11:00,56:27:00,57:43:00,57:00:00,56:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,New Zealand,Chris Bisley ,23,17:33:47,40:30:00,50:18:00,45:49:00,New Zealand,M,,46:36:00,44:27:00,45:19:00,44:07:00,43:40:00,43:07:00,40:30:00,46:38:00,44:11:00,45:08:00,45:51:00,45:08:00,46:34:00,46:12:00,47:17:00,46:30:00,46:39:00,48:04:00,45:00:00,46:21:00,48:00:00,48:10:00,50:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Mexico,Santiago Ramirez,23,18:01:49,40:10:00,58:00:00,47:02:00,Tarahumara Mexican,M,,40:10:00,45:54:00,50:20:00,48:21:00,48:51:00,46:53:00,47:17:00,47:05:00,47:53:00,47:32:00,50:10:00,42:37:00,46:04:00,47:32:00,47:32:00,50:52:00,43:00:00,43:49:00,43:21:00,40:30:00,43:50:00,58:00:00,54:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Singapore,Joshua Toh,23,19:11:18,47:43:00,56:19:00,50:03:00,SINGAPOREAN,M,43,53:00:00,52:00:00,50:30:00,49:26:00,49:40:00,50:16:00,49:47:00,49:05:00,49:59:00,49:51:00,49:17:00,49:35:00,48:18:00,49:34:00,47:43:00,48:20:00,50:30:00,49:30:00,48:58:00,48:05:00,48:52:00,52:43:00,56:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,New Zealand,Katie Wright,23,19:45:44,47:55:00,57:06:00,51:33:00,United Kingdom/New Zealand,F,,50:38:00,50:10:00,50:30:00,50:10:00,50:13:00,47:55:00,48:11:00,49:53:00,53:27:00,52:34:00,52:19:00,52:57:00,53:00:00,52:22:00,52:30:00,52:05:00,52:06:00,51:55:00,50:50:00,53:21:00,51:12:00,50:20:00,57:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Germany,Frank Goetze,22,17:18:35,40:13:00,50:52:00,47:13:00,Germany,M,56,42:44:00,42:47:00,44:25:00,44:49:00,47:07:00,44:39:00,47:08:00,47:02:00,47:54:00,47:04:00,49:03:00,49:22:00,49:30:00,50:52:00,50:33:00,48:41:00,49:40:00,49:55:00,48:28:00,48:22:00,40:13:00,48:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Australia,Mick Thwaites,22,17:23:29,40:33:00,55:20:00,47:26:00,England,M,46,45:03:00,42:20:00,48:43:00,45:29:00,40:33:00,44:36:00,47:20:00,44:12:00,45:05:00,45:05:00,46:36:00,47:09:00,48:35:00,49:10:00,50:01:00,47:54:00,50:13:00,49:54:00,48:35:00,55:20:00,51:05:00,50:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Ireland,Shane Brady,22,17:23:57,35:21:00,52:41:00,47:27:00,Irish,M,,45:21:00,47:26:00,37:09:00,39:50:00,50:31:00,50:17:00,41:09:00,49:58:00,43:14:00,51:16:00,35:21:00,49:20:00,49:31:00,45:47:00,48:17:00,52:41:00,48:44:00,50:07:00,52:26:00,51:45:00,51:42:00,52:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Mexico,Arnulfo Quimare Gutierrez,22,17:32:40,41:55:00,58:01:00,47:51:00,Tarahumara Mexican,M,,41:55:00,45:53:00,50:20:00,45:22:00,48:50:00,46:52:00,47:12:00,47:07:00,47:52:00,47:25:00,48:12:00,46:18:00,47:18:00,47:48:00,50:01:00,49:30:00,43:40:00,43:45:00,43:20:00,52:59:00,53:00:00,58:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Germany,Rene Bonn,22,17:54:41,40:05:00,56:29:00,48:51:00,Germany,M,29,40:05:00,42:32:00,45:28:00,45:00:00,51:42:00,45:48:00,47:12:00,48:41:00,49:10:00,47:42:00,48:38:00,50:03:00,49:09:00,50:02:00,49:37:00,49:09:00,48:59:00,49:18:00,56:12:00,50:38:00,53:07:00,56:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Switzerland,Basilia Förster,22,18:15:44,46:57:00,55:00:00,49:48:00,Italy,F,40,48:59:00,51:12:00,49:14:00,49:53:00,49:51:00,46:57:00,48:44:00,47:41:00,48:05:00,48:10:00,48:08:00,47:57:00,49:48:00,48:35:00,50:32:00,50:14:00,52:55:00,54:04:00,50:09:00,49:06:00,50:30:00,55:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Russia,Oleg Levandovskiy,22,18:31:09,44:16:00,58:40:00,50:30:00,Russia,M,,45:41:00,44:16:00,46:52:00,47:53:00,46:28:00,46:30:00,48:10:00,48:50:00,50:26:00,50:11:00,51:05:00,51:15:00,52:00:00,53:03:00,55:07:00,56:15:00,50:55:00,49:12:00,49:52:00,51:28:00,58:40:00,57:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Singapore,Ned Phillips,22,18:33:23,48:19:00,55:18:00,50:37:00,SINGAPORE PR,M,53,53:00:00,52:00:00,50:30:00,49:45:00,50:00:00,49:59:00,49:43:00,49:47:00,51:00:00,51:47:00,50:30:00,48:19:00,49:09:00,49:06:00,48:45:00,48:59:00,49:19:00,49:18:00,51:07:00,53:58:00,52:04:00,55:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,New Zealand,Mike Field,22,18:40:22,47:10:00,56:48:00,50:56:00,New Zealand,M,,47:10:00,49:03:00,48:08:00,48:25:00,48:15:00,48:00:00,47:14:00,50:36:00,50:07:00,51:27:00,52:24:00,52:58:00,52:40:00,52:18:00,52:39:00,52:05:00,52:08:00,52:17:00,50:55:00,51:51:00,52:54:00,56:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Canada,Terri Biloski,22,19:00:39,46:15:00,59:33:00,51:51:00,Canadian,F,44,47:19:00,46:15:00,47:56:00,49:18:00,48:36:00,47:13:00,46:26:00,50:54:00,52:54:00,49:33:00,51:25:00,50:17:00,50:25:00,51:25:00,52:27:00,55:55:00,55:18:00,56:57:00,59:33:00,51:51:00,59:21:00,59:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Australia,Jodie Oborne,21,16:22:10,41:42:00,54:34:00,46:46:00,Australia,F,49,41:42:00,43:22:00,42:34:00,44:14:00,44:55:00,44:45:00,44:49:00,44:12:00,43:04:00,44:56:00,46:08:00,47:28:00,46:58:00,50:21:00,50:45:00,49:26:00,50:07:00,47:43:00,48:28:00,51:39:00,54:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,India,KARTIK JOSHI ,21,16:40:13,39:39:00,51:48:00,47:38:00,Indian,M,19,39:39:00,50:20:00,46:51:00,42:08:00,49:01:00,48:16:00,47:00:00,48:12:00,48:54:00,47:18:00,50:49:00,50:28:00,51:15:00,43:30:00,50:27:00,45:12:00,44:40:00,49:47:00,49:20:00,45:18:00,51:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Germany,Tanja Hoeschele,21,17:02:19,42:44:00,53:07:00,48:41:00,Germany,F,49,42:44:00,43:43:00,44:28:00,44:49:00,46:03:00,46:37:00,47:39:00,47:02:00,47:07:00,48:45:00,51:07:00,50:54:00,51:19:00,52:40:00,50:34:00,50:29:00,49:41:00,51:49:00,50:13:00,51:29:00,53:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Belarus,Igor Lavnik,21,17:21:07,43:41:00,52:29:00,49:35:00,Belarus,M,37,47:44:00,49:11:00,47:30:00,52:29:00,50:30:00,50:13:00,50:25:00,50:11:00,49:33:00,50:41:00,50:34:00,46:47:00,50:32:00,50:11:00,49:10:00,50:06:00,48:47:00,43:41:00,50:53:00,51:53:00,50:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Singapore,Alex Ang,21,17:34:44,46:36:00,55:34:00,50:14:00,SINGAPOREAN,M,47,53:00:00,50:00:00,50:30:00,49:45:00,49:15:00,49:04:00,46:36:00,46:42:00,48:44:00,52:00:00,50:30:00,48:39:00,49:52:00,49:52:00,50:32:00,54:07:00,52:43:00,47:15:00,47:54:00,52:10:00,55:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Singapore,Melissa Loke,21,17:36:12,47:05:00,54:02:00,50:18:00,SINGAPOREAN,F,37,50:00:00,52:00:00,50:30:00,49:45:00,49:30:00,49:19:00,50:20:00,48:37:00,47:05:00,49:38:00,50:54:00,48:39:00,49:52:00,51:45:00,50:32:00,54:02:00,52:43:00,47:15:00,50:01:00,52:15:00,51:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Denmark,Anna Søgaard Hanusova,21,17:41:03,44:00:00,56:10:00,50:32:00,Czech,F,38,44:00:00,47:00:00,47:00:00,47:00:00,47:00:00,47:00:00,48:13:00,49:30:00,50:40:00,49:30:00,49:45:00,50:40:00,51:45:00,53:05:00,52:10:00,53:50:00,54:30:00,55:20:00,53:50:00,53:05:00,56:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Ukraine,Ihor Sakhanda ,20,14:04:01,40:31:00,43:25:00,42:12:00,Ukraine,M,52,43:12:00,41:33:00,41:11:00,41:55:00,41:23:00,43:25:00,42:43:00,42:33:00,42:55:00,42:23:00,42:48:00,43:05:00,43:01:00,42:03:00,42:44:00,43:11:00,41:38:00,40:31:00,40:40:00,41:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
